1:69511:69511	NM_001005484
1:20960230:20960230	NM_032409
1:20987873:20987873	NM_005216
1:21050958:21050958	NM_001103161
1:21167404:21167404	NM_003760
1:21795388:21795388	NM_032264
1:21799924:21799924	NM_032264
1:21808159:21808159	NM_032264
1:21808207:21808207	NM_032264
1:21808223:21808223	NM_032264
1:21809750:21809750	NM_032264
1:21940555:21940555	NM_001145658
1:21943820:21943820	NM_001145658
1:21945530:21945530	NM_001145658
1:22109370:22109370	NM_032236
1:22199882:22199882	NM_005529
1:22207235:22207235	NM_005529
1:22217108:22217108	NM_005529
1:22307340:22307340	NM_007352
1:22307358:22307358	NM_007352
1:22307538:22307538	NM_007352
1:22310262:22310262	NM_007352
1:22310725:22310725	NM_007352
1:22310824:22310824	NM_007352
1:22313161:22313161	NM_007352
1:22332008:22332008	NM_005747
1:22336305:22336305	NM_005747
1:22336308:22336308	NM_005747
1:22920094:22920094	NM_020526
1:22927241:22927241	NM_020526
1:22965438:22965438	NM_015991
1:23208925:23208925	NM_004442
1:23208925:23208925	NM_017449
1:23219493:23219493	NM_004442
1:23219493:23219493	NM_017449
1:23768196:23768196	NM_017707
1:23885498:23885498	NM_002167
1:24134721:24134721	NM_000191
1:24201094:24201094	NM_001841
1:24201109:24201109	NM_001841
1:24201357:24201357	NM_001841
1:24201919:24201919	NM_001841
1:24201920:24201920	NM_001841
1:24447943:24447943	NM_021258
1:24454688:24454688	NM_021258
1:24460797:24460797	NM_021258
1:24484108:24484108	NM_170743
1:24484108:24484108	NM_173064
1:24496085:24496085	NM_170743
1:24496085:24496085	NM_173064
1:24658063:24658063	NM_198174
1:24668667:24668667	NM_198174
1:24680915:24680915	NM_198173
1:24690764:24690764	NM_198174
1:24768616:24768616	NM_020448
1:26357667:26357667	NM_004455
1:26385003:26385003	NM_032588
1:26487940:26487940	NM_024869
1:26488019:26488019	NM_024869
1:26496651:26496651	NM_015871
1:26582091:26582091	NM_022778
1:26608843:26608843	NM_001077262
1:26608852:26608852	NM_001077262
1:26627478:26627478	NM_001077262
1:26646726:26646726	NM_001803
1:26646730:26646730	NM_001803
1:27210721:27210721	NM_018066
1:27278521:27278521	NM_152365
1:27278553:27278553	NM_152365
1:27320356:27320356	NM_001013642
1:27339103:27339103	NM_052943
1:27679797:27679797	NM_001193308
1:27679797:27679797	NM_032872
1:27680292:27680292	NM_001193308
1:27680292:27680292	NM_032872
1:28564279:28564279	NM_178190
1:28800380:28800380	NM_001048183
1:28861636:28861636	NM_001048194
1:28861636:28861636	NM_001048195
1:29189597:29189597	NM_000911
1:29475341:29475341	NM_005626
1:29475394:29475394	NM_005626
1:29475648:29475648	NM_005626
1:31188901:31188901	NM_002379
1:31215364:31215364	NM_006762
1:31347399:31347399	NM_014654
1:31351513:31351513	NM_014654
1:31896608:31896608	NM_001199038
1:31898234:31898234	NM_001199038
1:31905889:31905889	NM_001199038
1:32096265:32096265	NM_012392
1:32265029:32265029	NM_144569
1:32557486:32557486	NM_018056
1:32672908:32672908	NM_018134
1:32713199:32713199	NM_032648
1:33065947:33065947	NM_001040441
1:33160878:33160878	NM_001161708
1:33161212:33161212	NM_001161708
1:33235651:33235651	NM_020888
1:33245802:33245802	NM_003680
1:33478888:33478888	NM_001199199
1:33478888:33478888	NM_013411
1:33478900:33478900	NM_001199199
1:33478900:33478900	NM_013411
1:33478920:33478920	NM_001199199
1:33478920:33478920	NM_013411
1:33478931:33478931	NM_001199199
1:33478931:33478931	NM_013411
1:33478959:33478959	NM_001199199
1:33478959:33478959	NM_013411
1:33478983:33478983	NM_001199199
1:33478983:33478983	NM_013411
1:33646950:33646950	NM_018207
1:33820033:33820033	NM_198040
1:33832865:33832865	NM_198040
1:33960062:33960062	NM_145238
1:34329897:34329897	NM_145205
1:34330067:34330067	NM_145205
1:35259961:35259961	NM_002060
1:35260202:35260202	NM_002060
1:35562965:35562965	NM_024772
1:36316571:36316571	NM_017629
1:36367581:36367581	NM_012199
1:36553673:36553673	NM_014466
1:36752433:36752433	NM_005119
1:36773405:36773405	NM_001162530
1:36807481:36807481	NM_032017
1:36886117:36886117	NM_145047
1:36898067:36898067	NM_145047
1:38019747:38019747	NM_024700
1:38259916:38259916	NM_001113482
1:38338795:38338795	NM_005540
1:38411445:38411445	NM_005540
1:38449910:38449910	NM_006802
1:38463504:38463504	NM_001243878
1:38463504:38463504	NM_004468
1:39340282:39340282	NM_030772
1:39976930:39976930	NM_181809
1:39977575:39977575	NM_181809
1:39988084:39988084	NM_181809
1:40098328:40098328	NM_014571
1:40149642:40149642	NM_016257
1:40150156:40150156	NM_016257
1:40218695:40218695	NM_203456
1:40229368:40229368	NM_203456
1:40235448:40235448	NM_022120
1:40235489:40235489	NM_022120
1:40349131:40349131	NM_017646
1:40705427:40705427	NM_012421
1:40705726:40705726	NM_012421
1:40773123:40773123	NM_001852
1:40881041:40881041	NM_001198980
1:41285087:41285087	NM_004700
1:41285087:41285087	NM_172163
1:41296828:41296828	NM_004700
1:41296828:41296828	NM_172163
1:42619139:42619139	NM_007102
1:42693597:42693597	NM_014947
1:43166630:43166630	NM_004559
1:43296195:43296195	NM_018538
1:43632536:43632536	NM_001159936
1:43636484:43636484	NM_001159936
1:43638457:43638457	NM_001195831
1:43664218:43664218	NM_001195831
1:43675467:43675467	NM_001195831
1:43779564:43779564	NM_001253357
1:43779564:43779564	NM_005424
1:43825644:43825644	NM_001255
1:43886494:43886494	NM_015284
1:44083507:44083507	NM_002840
1:44084739:44084739	NM_002840
1:44086831:44086831	NM_002840
1:44137257:44137257	NM_014663
1:44290530:44290530	NM_174963
1:44415415:44415415	NM_014652
1:44595113:44595113	NM_173484
1:44595410:44595410	NM_173484
1:44595426:44595426	NM_173484
1:45218895:45218895	NM_006845
1:45269333:45269333	NM_004073
1:45270024:45270024	NM_004073
1:45292866:45292866	NM_001166292
1:45293518:45293518	NM_001166292
1:45293752:45293752	NM_001166292
1:45444038:45444038	NM_001261418
1:45444038:45444038	NM_020365
1:45469176:45469176	NM_024602
1:45469586:45469586	NM_024602
1:45476663:45476663	NM_024602
1:45479709:45479709	NM_000374
1:46476587:46476587	NM_015112
1:46870761:46870761	NM_001441
1:46871986:46871986	NM_001441
1:46976717:46976717	NM_172225
1:47078637:47078637	NM_145279
1:47080665:47080665	NM_145279
1:47080679:47080679	NM_145279
1:47080741:47080741	NM_145279
1:47395973:47395973	NM_000778
1:47399967:47399967	NM_000778
1:47571902:47571902	NM_178134
1:47571905:47571905	NM_178134
1:47609489:47609489	NM_001010969
1:47610293:47610293	NM_001010969
1:47882497:47882497	NM_012186
1:48697733:48697733	NM_001135181
1:48697751:48697751	NM_001135181
1:49224584:49224584	NM_024603
1:49511424:49511424	NM_032785
1:50661411:50661411	NM_001144777
1:50666515:50666515	NM_021952
1:51753904:51753904	NM_001144832
1:51873951:51873951	NM_001981
1:52266242:52266242	NM_001101662
1:52290984:52290984	NM_001101662
1:53072454:53072454	NM_015696
1:53250650:53250650	NM_024646
1:53320274:53320274	NM_001004339
1:53370357:53370357	NM_018281
1:53535478:53535478	NM_001199081
1:53535478:53535478	NM_153703
1:53537266:53537266	NM_001199081
1:53537266:53537266	NM_153703
1:53544439:53544439	NM_001199081
1:53544439:53544439	NM_153703
1:53544597:53544597	NM_001199081
1:53544597:53544597	NM_153703
1:53553702:53553702	NM_006671
1:53553754:53553754	NM_006671
1:53558270:53558270	NM_006671
1:53676448:53676448	NM_000098
1:53679229:53679229	NM_000098
1:53681699:53681699	NM_017887
1:53712727:53712727	NM_004631
1:53716416:53716416	NM_004631
1:53732315:53732315	NM_004631
1:53742431:53742431	NM_004631
1:53792651:53792651	NM_004631
1:54060016:54060016	NM_147193
1:54060248:54060248	NM_147193
1:54605318:54605318	NM_201546
1:54605319:54605319	NM_201546
1:54606804:54606804	NM_201546
1:54607051:54607051	NM_201546
1:55075452:55075452	NM_176782
1:55119515:55119515	NM_001039464
1:55119546:55119546	NM_001039464
1:55136529:55136529	NM_001039464
1:55139741:55139741	NM_001039464
1:55166842:55166842	NM_001039464
1:55167773:55167773	NM_001039464
1:55182300:55182300	NM_004623
1:55224131:55224131	NM_152268
1:55224751:55224751	NM_152268
1:55251689:55251689	NM_001114108
1:55273580:55273580	NM_001110533
1:55277599:55277599	NM_001110533
1:55457710:55457710	NM_182532
1:55523033:55523033	NM_174936
1:55524197:55524197	NM_174936
1:55524237:55524237	NM_174936
1:55529187:55529187	NM_174936
1:55541174:55541174	NM_015306
1:55638075:55638075	NM_015306
1:57002627:57002627	NM_003713
1:57158051:57158051	NM_006252
1:57219539:57219539	NM_001004303
1:57257817:57257817	NM_001004303
1:57340727:57340727	NM_000562
1:57422484:57422484	NM_000066
1:59042388:59042388	NM_002353
1:59142713:59142713	NM_001085487
1:59147926:59147926	NM_001085487
1:59787350:59787350	NM_018291
1:59844471:59844471	NM_018291
1:60503762:60503762	NM_152377
1:62232031:62232031	NM_176877
1:62232130:62232130	NM_176877
1:62261168:62261168	NM_176877
1:62330080:62330080	NM_176877
1:62380270:62380270	NM_176877
1:62380298:62380298	NM_176877
1:62456014:62456014	NM_176877
1:62516683:62516683	NM_176877
1:62579823:62579823	NM_176877
1:62594593:62594593	NM_176877
1:62673225:62673225	NM_001164835
1:62673225:62673225	NM_019079
1:62673287:62673287	NM_001164835
1:62673287:62673287	NM_019079
1:62675619:62675619	NM_001164835
1:62675619:62675619	NM_019079
1:62676612:62676612	NM_001164835
1:62676612:62676612	NM_019079
1:62738904:62738904	NM_181712
1:62739198:62739198	NM_181712
1:62740065:62740065	NM_181712
1:62740446:62740446	NM_181712
1:62740449:62740449	NM_181712
1:63789088:63789088	NM_012183
1:64515379:64515379	NM_005012
1:64608329:64608329	NM_005012
1:64624842:64624842	NM_005012
1:64643277:64643277	NM_005012
1:65311214:65311214	NM_002227
1:65321250:65321250	NM_002227
1:65335095:65335095	NM_002227
1:65684548:65684548	NM_013410
1:66058513:66058513	NM_002303
1:66067109:66067109	NM_002303
1:66831370:66831370	NM_001037341
1:67236097:67236097	NM_152665
1:67243024:67243024	NM_152665
1:67266756:67266756	NM_005478
1:67288045:67288045	NM_024763
1:67390416:67390416	NM_024763
1:67390468:67390468	NM_024763
1:67633812:67633812	NM_144701
1:67685387:67685387	NM_144701
1:67795319:67795319	NM_001559
1:68603586:68603586	NM_001002292
1:68624878:68624878	NM_001002292
1:72058552:72058552	NM_173808
1:74575182:74575182	NM_001105659
1:74665493:74665493	NM_001112808
1:74670172:74670172	NM_003838
1:74671074:74671074	NM_001199328
1:74671074:74671074	NM_003838
1:75036812:75036812	NM_001002912
1:75037845:75037845	NM_001002912
1:75038228:75038228	NM_001002912
1:75172652:75172652	NM_001889
1:75190452:75190452	NM_001889
1:75672376:75672376	NM_152697
1:75681511:75681511	NM_001130058
1:75716925:75716925	NM_001130058
1:76257892:76257892	NM_004582
1:76344705:76344705	NM_002440
1:76344711:76344711	NM_002440
1:76397972:76397972	NM_080868
1:77093180:77093180	NM_152996
1:77759578:77759578	NM_174858
1:77763542:77763542	NM_174858
1:78024345:78024345	NM_174858
1:78585086:78585086	NM_017655
1:79093818:79093818	NM_006820
1:79095581:79095581	NM_006820
1:79392756:79392756	NM_022159
1:84944989:84944989	NM_025065
1:85113203:85113203	NM_001166293
1:85113203:85113203	NM_001166294
1:85113203:85113203	NM_014021
1:85113229:85113229	NM_001166293
1:85113229:85113229	NM_001166294
1:85113229:85113229	NM_014021
1:85624549:85624549	NM_032184
1:85624864:85624864	NM_032184
1:85648620:85648620	NM_032184
1:85742012:85742012	NM_003921
1:86375654:86375654	NM_152890
1:86512536:86512536	NM_152890
1:86557967:86557967	NM_152890
1:86590915:86590915	NM_152890
1:86590948:86590948	NM_152890
1:86820267:86820267	NM_001184765
1:86838158:86838158	NM_001184765
1:86847955:86847955	NM_001184765
1:86894241:86894241	NM_006536
1:86900332:86900332	NM_006536
1:86900372:86900372	NM_006536
1:89322982:89322982	NM_001514
1:89426902:89426902	NM_001008661
1:89449278:89449278	NM_019610
1:89449298:89449298	NM_019610
1:89449390:89449390	NM_019610
1:89449399:89449399	NM_019610
1:89449434:89449434	NM_019610
1:89449483:89449483	NM_019610
1:89475135:89475135	NM_018284
1:89479063:89479063	NM_018284
1:89479074:89479074	NM_018284
1:89521841:89521841	NM_002053
1:89522646:89522646	NM_002053
1:89579941:89579941	NM_004120
1:89582690:89582690	NM_004120
1:89599037:89599037	NM_207398
1:89599070:89599070	NM_207398
1:89599084:89599084	NM_207398
1:89637578:89637578	NM_207398
1:89652102:89652102	NM_052941
1:89660991:89660991	NM_052941
1:89847372:89847372	NM_198460
1:89847411:89847411	NM_198460
1:89847444:89847444	NM_198460
1:89849742:89849742	NM_198460
1:90178743:90178743	NM_032270
1:90486412:90486412	NM_182976
1:90493026:90493026	NM_182976
1:91784887:91784887	NM_001017975
1:91851253:91851253	NM_001017975
1:91859795:91859795	NM_001017975
1:91859801:91859801	NM_001017975
1:91980447:91980447	NM_001134419
1:91980447:91980447	NM_003503
1:92174260:92174260	NM_001195683
1:92174260:92174260	NM_003243
1:92185657:92185657	NM_001195683
1:92185657:92185657	NM_003243
1:92262874:92262874	NM_001195683
1:92262874:92262874	NM_003243
1:92428495:92428495	NM_001242805
1:92445257:92445257	NM_001242805
1:92457843:92457843	NM_001242805
1:93073228:93073228	NM_005665
1:93089823:93089823	NM_005665
1:93160902:93160902	NM_005665
1:93580581:93580581	NM_001164392
1:93580581:93580581	NM_007358
1:93620393:93620393	NM_016040
1:93672723:93672723	NM_206886
1:94341267:94341267	NM_014597
1:94342061:94342061	NM_014597
1:94343023:94343023	NM_014597
1:94343233:94343233	NM_014597
1:94466659:94466659	NM_000350
1:94471075:94471075	NM_000350
1:94473845:94473845	NM_000350
1:94474328:94474328	NM_000350
1:94476388:94476388	NM_000350
1:94512565:94512565	NM_000350
1:94578548:94578548	NM_000350
1:94639447:94639447	NM_004815
1:94930345:94930345	NM_002858
1:95001600:95001600	NM_001993
1:95709821:95709821	NM_001199682
1:95709821:95709821	NM_015485
1:95709939:95709939	NM_001199682
1:95709939:95709939	NM_015485
1:97981395:97981395	NM_000110
1:97981421:97981421	NM_000110
1:98348885:98348885	NM_000110
1:99127392:99127392	NM_015976
1:99161184:99161184	NM_015976
1:99164434:99164434	NM_015976
1:99225627:99225627	NM_015976
1:99418647:99418647	NM_001037317
1:100336361:100336361	NM_000028
1:100575933:100575933	NM_194292
1:100598866:100598866	NM_019083
1:100598867:100598867	NM_019083
1:100672060:100672060	NM_001918
1:101203827:101203827	NM_001078
1:103354138:103354138	NM_001190709
1:103354428:103354428	NM_001190709
1:103405892:103405892	NM_001190709
1:108185301:108185301	NM_006113
1:108307727:108307727	NM_006113
1:108313258:108313258	NM_006113
1:108703834:108703834	NM_013386
1:108728484:108728484	NM_013386
1:108771721:108771721	NM_001143989
1:109265029:109265029	NM_001144937
1:109268573:109268573	NM_001144937
1:109273456:109273456	NM_001144937
1:109656946:109656946	NM_020775
1:109704618:109704618	NM_020775
1:109735298:109735298	NM_020775
1:109737063:109737063	NM_020775
1:109737090:109737090	NM_020775
1:109737172:109737172	NM_020775
1:109742485:109742485	NM_020775
1:109745618:109745618	NM_020775
1:109794252:109794252	NM_001408
1:109795026:109795026	NM_001408
1:109795608:109795608	NM_001408
1:109810200:109810200	NM_001408
1:109810201:109810201	NM_001408
1:109810544:109810544	NM_001408
1:109816176:109816176	NM_001408
1:109838918:109838918	NM_001010985
1:109838918:109838918	NM_001265613
1:109839433:109839433	NM_001010985
1:109839433:109839433	NM_001265613
1:109839738:109839738	NM_001010985
1:109839738:109839738	NM_001265613
1:109884775:109884775	NM_002959
1:109897103:109897103	NM_002959
1:110170896:110170896	NM_139156
1:110201699:110201699	NM_147148
1:110233138:110233138	NM_000561
1:110295772:110295772	NM_024526
1:110466338:110466338	NM_000757
1:110466709:110466709	NM_000757
1:110466709:110466709	NM_172211
1:110709719:110709719	NM_001010898
1:110709720:110709720	NM_001010898
1:110738296:110738296	NM_001010898
1:110882444:110882444	NM_001201545
1:110950439:110950439	NM_006402
1:111060669:111060669	NM_005549
1:111061062:111061062	NM_005549
1:111144661:111144661	NM_001204269
1:111726869:111726869	NM_006090
1:111741322:111741322	NM_001271833
1:111783982:111783982	NM_001025197
1:111783996:111783996	NM_001025197
1:112042632:112042632	NM_000677
1:112298582:112298582	NM_007204
1:112309123:112309123	NM_007204
1:112309331:112309331	NM_007204
1:112991698:112991698	NM_018704
1:112999227:112999227	NM_018704
1:113063125:113063125	NM_004185
1:113255389:113255389	NM_005167
1:113657092:113657092	NM_014813
1:114196495:114196495	NM_001142782
1:114226248:114226248	NM_001142782
1:114377568:114377568	NM_001193431
1:114377568:114377568	NM_015967
1:114424601:114424601	NM_001010922
1:114515717:114515717	NM_198268
1:114948281:114948281	NM_015906
1:115576023:115576023	NM_000549
1:115829313:115829313	NM_002506
1:116206423:116206423	NM_001172412
1:116243877:116243877	NM_001232
1:116247826:116247826	NM_001232
1:116310967:116310967	NM_001232
1:116534852:116534852	NM_018420
1:116569530:116569530	NM_018420
1:117311147:117311147	NM_001767
1:117554421:117554421	NM_001256106
1:117554421:117554421	NM_001256109
1:117554421:117554421	NM_001256111
1:117554421:117554421	NM_004258
1:117559726:117559726	NM_001256106
1:117559726:117559726	NM_001256109
1:117559726:117559726	NM_001256111
1:117559726:117559726	NM_004258
1:117617705:117617705	NM_003594
1:117618067:117618067	NM_003594
1:117644058:117644058	NM_003594
1:118165691:118165691	NM_017709
1:118537142:118537142	NM_206996
1:118565953:118565953	NM_206996
1:118583408:118583408	NM_206996
1:118644430:118644430	NM_206996
1:119575818:119575818	NM_015836
1:119923724:119923724	NM_001005783
1:119964933:119964933	NM_000198
1:120057158:120057158	NM_000862
1:120166681:120166681	NM_001080470
1:120285546:120285546	NM_006623
1:120436751:120436751	NM_021794
1:120437884:120437884	NM_021794
1:120458004:120458004	NM_024408
1:120572547:120572547	NM_024408
1:120611964:120611964	NM_024408
1:120612006:120612006	NM_024408
1:121116688:121116688	NM_001271872
1:121129557:121129557	NM_001271872
1:143767628:143767628	NM_001123068
1:143767643:143767643	NM_001123068
1:143767778:143767778	NM_001123068
1:143767833:143767833	NM_001123068
1:144852390:144852390	NM_001198834
1:144930940:144930940	NM_001002811
1:145293425:145293425	NM_001039703
1:145293490:145293490	NM_001039703
1:145293498:145293498	NM_001039703
1:145293510:145293510	NM_001039703
1:145293515:145293515	NM_001039703
1:145293566:145293566	NM_001039703
1:145296372:145296372	NM_001039703
1:145299824:145299824	NM_001039703
1:145301802:145301802	NM_001039703
1:145303971:145303971	NM_001039703
1:145368461:145368461	NM_001039703
1:145368473:145368473	NM_001039703
1:145368518:145368518	NM_001039703
1:145532549:145532549	NM_003637
1:145561116:145561116	NM_144698
1:145562087:145562087	NM_144698
1:145562293:145562293	NM_144698
1:146656097:146656097	NM_001144829
1:146714427:146714427	NM_004284
1:146751782:146751782	NM_001256336
1:146751782:146751782	NM_004284
1:146751782:146751782	NM_024568
1:146759320:146759320	NM_001256336
1:146759320:146759320	NM_004284
1:146759320:146759320	NM_024568
1:146767149:146767149	NM_001256336
1:146767149:146767149	NM_004284
1:146767149:146767149	NM_024568
1:147119273:147119273	NM_016361
1:147124310:147124310	NM_016361
1:148252111:148252111	NM_001278267
1:148579636:148579636	NM_173638
